,기준년월,광역시도명,광역시도코드,남성_유동인구_수,여성_유동인구_수
145,2023-09,울산광역시,1208256,106930323.01817316,89481297.17468035
146,2023-09,인천광역시,3020640,261185747.1320972,238817762.5350645
147,2023-10,광주광역시,2058768,154427082.3781929,152246695.94620955
148,2023-10,대구광역시,2817099,225906298.12149757,221112322.9862378
149,2023-10,대전광역시,1752750,153041993.31664842,145778646.30277058
150,2023-10,부산광역시,3944382,330770159.9867126,327025614.8117946
151,2023-10,세종특별자치시,532440,36501284.309898116,35719389.25778763
152,2023-10,울산광역시,1285570,119029917.34710227,99583040.35477193
153,2023-10,인천광역시,3215520,280062006.472683,256563019.46878618
154,2023-11,광주광역시,2004480,141660006.754049,137932326.21007484
155,2023-11,대구광역시,2741040,202672603.91685027,195198226.39070207
156,2023-11,대전광역시,1706400,144211730.82272655,135503563.14260286
157,2023-11,부산광역시,3837600,296395258.70190954,287616013.7299965
158,2023-11,세종특별자치시,518400,32559935.525463358,31697730.609191336
159,2023-11,울산광역시,1249920,105666368.31192973,86765354.97165552
160,2023-11,인천광역시,3124800,256690881.4246199,231207538.777894
161,2023-12,광주광역시,2071296,174884993.37658477,172808155.882889
162,2023-12,대구광역시,2832408,213358937.76037538,204307784.52470323
163,2023-12,대전광역시,1763280,188652549.8627543,181312121.47157976
164,2023-12,부산광역시,3965520,310587954.18773013,302021219.7835857
165,2023-12,세종특별자치시,535680,36535118.57290493,36007126.009207875
166,2023-12,울산광역시,1291584,107968033.06466588,89129066.85137108
167,2023-12,인천광역시,3228960,262706111.76064742,237931169.63691986
